x,y,grp
405,17,g0
406,18,g1
407,19,g2
408,20,g3
409,21,g4
410,22,g0
411,23,g1
412,24,g2
413,25,g3
414,26,g4
415,27,g0
416,28,g1
417,29,g2
418,30,g3
419,31,g4
420,32,g0
421,33,g1
422,34,g2
423,35,g3
424,36,g4
425,37,g0
426,38,g1
427,39,g2
428,40,g3
429,41,g4
430,42,g0
431,43,g1
432,44,g2
433,45,g3
434,46,g4
435,47,g0
436,48,g1
437,49,g2
438,50,g3
439,51,g4
440,52,g0
441,53,g1
442,54,g2
443,55,g3
444,56,g4
445,57,g0
446,58,g1
447,59,g2
448,60,g3
449,61,g4
450,62,g0
451,63,g1
452,64,g2
453,65,g3
454,66,g4
455,67,g0
456,68,g1
457,69,g2
458,70,g3
459,71,g4
460,72,g0
461,73,g1
462,74,g2
463,75,g3
464,76,g4
465,77,g0
466,78,g1
467,79,g2
468,80,g3
469,81,g4
470,82,g0
471,83,g1
472,84,g2
473,85,g3
474,86,g4
475,87,g0
476,88,g1
477,89,g2
478,90,g3
479,91,g4
480,92,g0
481,93,g1
482,94,g2
483,95,g3
484,96,g4
485,0,g0
486,1,g1
487,2,g2
488,3,g3
489,4,g4
490,5,g0
491,6,g1
492,7,g2
493,8,g3
494,9,g4
495,10,g0
496,11,g1
497,12,g2
498,13,g3
499,14,g4
500,15,g0
501,16,g1
502,17,g2
503,18,g3
504,19,g4
505,20,g0
506,21,g1
507,22,g2
508,23,g3
509,24,g4
510,25,g0
511,26,g1
512,27,g2
513,28,g3
514,29,g4
515,30,g0
516,31,g1
517,32,g2
518,33,g3
519,34,g4
520,35,g0
521,36,g1
522,37,g2
523,38,g3
524,39,g4
525,40,g0
526,41,g1
527,42,g2
528,43,g3
529,44,g4
530,45,g0
531,46,g1
532,47,g2
533,48,g3
534,49,g4
535,50,g0
536,51,g1
537,52,g2
538,53,g3
539,54,g4
540,55,g0
541,56,g1
542,57,g2
543,58,g3
544,59,g4
545,60,g0
546,61,g1
547,62,g2
548,63,g3
549,64,g4
550,65,g0
551,66,g1
552,67,g2
553,68,g3
554,69,g4
555,70,g0
556,71,g1
557,72,g2
558,73,g3
559,74,g4
560,75,g0
561,76,g1
562,77,g2
563,78,g3
564,79,g4
565,80,g0
566,81,g1
567,82,g2
568,83,g3
569,84,g4
570,85,g0
571,86,g1
572,87,g2
573,88,g3
574,89,g4
575,90,g0
576,91,g1
577,92,g2
578,93,g3
579,94,g4
580,95,g0
581,96,g1
582,0,g2
583,1,g3
584,2,g4
585,3,g0
586,4,g1
587,5,g2
588,6,g3
589,7,g4
590,8,g0
591,9,g1
592,10,g2
593,11,g3
594,12,g4
595,13,g0
596,14,g1
597,15,g2
598,16,g3
599,17,g4
600,18,g0
601,19,g1
602,20,g2
603,21,g3
604,22,g4
605,23,g0
606,24,g1
607,25,g2
608,26,g3
609,27,g4
610,28,g0
611,29,g1
612,30,g2
613,31,g3
614,32,g4
615,33,g0
616,34,g1
617,35,g2
618,36,g3
619,37,g4
620,38,g0
621,39,g1
622,40,g2
623,41,g3
624,42,g4
625,43,g0
626,44,g1
627,45,g2
628,46,g3
629,47,g4
630,48,g0
631,49,g1
632,50,g2
633,51,g3
634,52,g4
635,53,g0
636,54,g1
637,55,g2
638,56,g3
639,57,g4
640,58,g0
641,59,g1
642,60,g2
643,61,g3
644,62,g4
645,63,g0
646,64,g1
647,65,g2
648,66,g3
649,67,g4
650,68,g0
651,69,g1
652,70,g2
653,71,g3
654,72,g4
655,73,g0
656,74,g1
657,75,g2
658,76,g3
659,77,g4
660,78,g0
661,79,g1
662,80,g2
663,81,g3
664,82,g4
665,83,g0
666,84,g1
667,85,g2
668,86,g3
669,87,g4
670,88,g0
671,89,g1
672,90,g2
673,91,g3
674,92,g4
675,93,g0
676,94,g1
677,95,g2
678,96,g3
679,0,g4
680,1,g0
681,2,g1
682,3,g2
683,4,g3
684,5,g4
685,6,g0
686,7,g1
687,8,g2
688,9,g3
689,10,g4
690,11,g0
691,12,g1
692,13,g2
693,14,g3
694,15,g4
695,16,g0
696,17,g1
697,18,g2
698,19,g3
699,20,g4
700,21,g0
701,22,g1
702,23,g2
703,24,g3
704,25,g4
705,26,g0
706,27,g1
707,28,g2
708,29,g3
709,30,g4
710,31,g0
711,32,g1
712,33,g2
713,34,g3
714,35,g4
715,36,g0
716,37,g1
717,38,g2
718,39,g3
719,40,g4
720,41,g0
721,42,g1
722,43,g2
723,44,g3
724,45,g4
725,46,g0
726,47,g1
727,48,g2
728,49,g3
729,50,g4
730,51,g0
731,52,g1
732,53,g2
733,54,g3
734,55,g4
735,56,g0
736,57,g1
737,58,g2
738,59,g3
739,60,g4
740,61,g0
741,62,g1
742,63,g2
743,64,g3
744,65,g4
745,66,g0
746,67,g1
747,68,g2
748,69,g3
749,70,g4
750,71,g0
751,72,g1
752,73,g2
753,74,g3
754,75,g4
755,76,g0
756,77,g1
757,78,g2
758,79,g3
759,80,g4
760,81,g0
761,82,g1
762,83,g2
763,84,g3
764,85,g4
765,86,g0
766,87,g1
767,88,g2
768,89,g3
769,90,g4
770,91,g0
771,92,g1
772,93,g2
773,94,g3
774,95,g4
775,96,g0
776,0,g1
777,1,g2
778,2,g3
779,3,g4
780,4,g0
781,5,g1
782,6,g2
783,7,g3
784,8,g4
785,9,g0
786,10,g1
787,11,g2
788,12,g3
789,13,g4
790,14,g0
791,15,g1
792,16,g2
793,17,g3
794,18,g4
795,19,g0
796,20,g1
797,21,g2
798,22,g3
799,23,g4
800,24,g0
801,25,g1
802,26,g2
803,27,g3
804,28,g4
805,29,g0
806,30,g1
807,31,g2
808,32,g3
809,33,g4
810,34,g0
811,35,g1
812,36,g2
813,37,g3
814,38,g4
815,39,g0
816,40,g1
817,41,g2
818,42,g3
819,43,g4
820,44,g0
821,45,g1
822,46,g2
823,47,g3
824,48,g4
825,49,g0
826,50,g1
827,51,g2
828,52,g3
829,53,g4
830,54,g0
831,55,g1
832,56,g2
833,57,g3
834,58,g4
835,59,g0
836,60,g1
837,61,g2
838,62,g3
839,63,g4
840,64,g0
841,65,g1
842,66,g2
843,67,g3
844,68,g4
845,69,g0
846,70,g1
847,71,g2
848,72,g3
849,73,g4
850,74,g0
851,75,g1
852,76,g2
853,77,g3
854,78,g4
855,79,g0
856,80,g1
857,81,g2
858,82,g3
859,83,g4
860,84,g0
861,85,g1
862,86,g2
863,87,g3
864,88,g4
865,89,g0
866,90,g1
867,91,g2
868,92,g3
869,93,g4
870,94,g0
871,95,g1
872,96,g2
873,0,g3
874,1,g4
875,2,g0
876,3,g1
877,4,g2
878,5,g3
879,6,g4
880,7,g0
881,8,g1
882,9,g2
883,10,g3
884,11,g4
885,12,g0
886,13,g1
887,14,g2
888,15,g3
889,16,g4
890,17,g0
891,18,g1
892,19,g2
893,20,g3
894,21,g4
895,22,g0
896,23,g1
897,24,g2
898,25,g3
899,26,g4
900,27,g0
901,28,g1
902,29,g2
903,30,g3
904,31,g4
905,32,g0
906,33,g1
907,34,g2
908,35,g3
909,36,g4
910,37,g0
911,38,g1
912,39,g2
913,40,g3
914,41,g4
915,42,g0
916,43,g1
917,44,g2
918,45,g3
919,46,g4
920,47,g0
921,48,g1
922,49,g2
923,50,g3
924,51,g4
925,52,g0
926,53,g1
927,54,g2
928,55,g3
929,56,g4
930,57,g0
931,58,g1
932,59,g2
933,60,g3
934,61,g4
935,62,g0
936,63,g1
937,64,g2
938,65,g3
939,66,g4
940,67,g0
941,68,g1
942,69,g2
943,70,g3
944,71,g4
945,72,g0
946,73,g1
947,74,g2
948,75,g3
949,76,g4
950,77,g0
951,78,g1
952,79,g2
953,80,g3
954,81,g4
955,82,g0
956,83,g1
957,84,g2
958,85,g3
959,86,g4
960,87,g0
961,88,g1
962,89,g2
963,90,g3
964,91,g4
965,92,g0
966,93,g1
967,94,g2
968,95,g3
969,96,g4
970,0,g0
971,1,g1
972,2,g2
973,3,g3
974,4,g4
975,5,g0
976,6,g1
977,7,g2
978,8,g3
979,9,g4
980,10,g0
981,11,g1
982,12,g2
983,13,g3
984,14,g4
985,15,g0
986,16,g1
987,17,g2
988,18,g3
989,19,g4
990,20,g0
991,21,g1
992,22,g2
993,23,g3
994,24,g4
995,25,g0
996,26,g1
997,27,g2
998,28,g3
999,29,g4
1000,30,g0
1001,31,g1
1002,32,g2
1003,33,g3
1004,34,g4
1005,35,g0
1006,36,g1
1007,37,g2
1008,38,g3
1009,39,g4
1010,40,g0
1011,41,g1
1012,42,g2
1013,43,g3
1014,44,g4
1015,45,g0
1016,46,g1
1017,47,g2
1018,48,g3
1019,49,g4
1020,50,g0
1021,51,g1
1022,52,g2
1023,53,g3
1024,54,g4
1025,55,g0
1026,56,g1
1027,57,g2
1028,58,g3
1029,59,g4
1030,60,g0
1031,61,g1
1032,62,g2
1033,63,g3
1034,64,g4
1035,65,g0
1036,66,g1
1037,67,g2
1038,68,g3
1039,69,g4
1040,70,g0
1041,71,g1
1042,72,g2
1043,73,g3
1044,74,g4
1045,75,g0
1046,76,g1
1047,77,g2
1048,78,g3
1049,79,g4
1050,80,g0
1051,81,g1
1052,82,g2
1053,83,g3
1054,84,g4
1055,85,g0
1056,86,g1
1057,87,g2
1058,88,g3
1059,89,g4
1060,90,g0
1061,91,g1
1062,92,g2
1063,93,g3
1064,94,g4
1065,95,g0
1066,96,g1
1067,0,g2
1068,1,g3
1069,2,g4
1070,3,g0
1071,4,g1
1072,5,g2
1073,6,g3
1074,7,g4
1075,8,g0
1076,9,g1
1077,10,g2
1078,11,g3
1079,12,g4
1080,13,g0
1081,14,g1
1082,15,g2
1083,16,g3
1084,17,g4
1085,18,g0
1086,19,g1
1087,20,g2
1088,21,g3
1089,22,g4
1090,23,g0
1091,24,g1
1092,25,g2
1093,26,g3
1094,27,g4
1095,28,g0
1096,29,g1
1097,30,g2
1098,31,g3
1099,32,g4
1100,33,g0
1101,34,g1
1102,35,g2
1103,36,g3
1104,37,g4
1105,38,g0
1106,39,g1
1107,40,g2
1108,41,g3
1109,42,g4
1110,43,g0
1111,44,g1
1112,45,g2
1113,46,g3
1114,47,g4
1115,48,g0
1116,49,g1
1117,50,g2
1118,51,g3
1119,52,g4
1120,53,g0
1121,54,g1
1122,55,g2
1123,56,g3
1124,57,g4
1125,58,g0
1126,59,g1
1127,60,g2
1128,61,g3
1129,62,g4
1130,63,g0
1131,64,g1
1132,65,g2
1133,66,g3
1134,67,g4
1135,68,g0
1136,69,g1
1137,70,g2
1138,71,g3
1139,72,g4
1140,73,g0
1141,74,g1
1142,75,g2
1143,76,g3
1144,77,g4
1145,78,g0
1146,79,g1
1147,80,g2
1148,81,g3
1149,82,g4
1150,83,g0
1151,84,g1
1152,85,g2
1153,86,g3
1154,87,g4
1155,88,g0
1156,89,g1
1157,90,g2
1158,91,g3
1159,92,g4
1160,93,g0
1161,94,g1
1162,95,g2
1163,96,g3
1164,0,g4
1165,1,g0
1166,2,g1
1167,3,g2
1168,4,g3
1169,5,g4
1170,6,g0
1171,7,g1
1172,8,g2
1173,9,g3
1174,10,g4
1175,11,g0
1176,12,g1
1177,13,g2
1178,14,g3
1179,15,g4
1180,16,g0
1181,17,g1
1182,18,g2
1183,19,g3
1184,20,g4
1185,21,g0
1186,22,g1
1187,23,g2
1188,24,g3
1189,25,g4
1190,26,g0
1191,27,g1
1192,28,g2
1193,29,g3
1194,30,g4
1195,31,g0
1196,32,g1
1197,33,g2
1198,34,g3
1199,35,g4
1200,36,g0
1201,37,g1
1202,38,g2
1203,39,g3
1204,40,g4
1205,41,g0
1206,42,g1
1207,43,g2
1208,44,g3
1209,45,g4
1210,46,g0
1211,47,g1
1212,48,g2
1213,49,g3
1214,50,g4
1215,51,g0
1216,52,g1
1217,53,g2
1218,54,g3
1219,55,g4
1220,56,g0
1221,57,g1
1222,58,g2
1223,59,g3
1224,60,g4
1225,61,g0
1226,62,g1
1227,63,g2
1228,64,g3
1229,65,g4
1230,66,g0
1231,67,g1
1232,68,g2
1233,69,g3
1234,70,g4
1235,71,g0
1236,72,g1
1237,73,g2
1238,74,g3
1239,75,g4
1240,76,g0
1241,77,g1
1242,78,g2
1243,79,g3
1244,80,g4
1245,81,g0
1246,82,g1
1247,83,g2
1248,84,g3
1249,85,g4
1250,86,g0
1251,87,g1
1252,88,g2
1253,89,g3
1254,90,g4
1255,91,g0
1256,92,g1
1257,93,g2
1258,94,g3
1259,95,g4
1260,96,g0
1261,0,g1
1262,1,g2
1263,2,g3
1264,3,g4
1265,4,g0
1266,5,g1
1267,6,g2
1268,7,g3
1269,8,g4
1270,9,g0
1271,10,g1
1272,11,g2
1273,12,g3
1274,13,g4
1275,14,g0
1276,15,g1
1277,16,g2
1278,17,g3
1279,18,g4
1280,19,g0
1281,20,g1
1282,21,g2
1283,22,g3
1284,23,g4
1285,24,g0
1286,25,g1
1287,26,g2
1288,27,g3
1289,28,g4
1290,29,g0
1291,30,g1
1292,31,g2
1293,32,g3
1294,33,g4
1295,34,g0
1296,35,g1
1297,36,g2
1298,37,g3
1299,38,g4
1300,39,g0
1301,40,g1
1302,41,g2
1303,42,g3
1304,43,g4
1305,44,g0
1306,45,g1
1307,46,g2
1308,47,g3
1309,48,g4
1310,49,g0
1311,50,g1
1312,51,g2
1313,52,g3
1314,53,g4
1315,54,g0
1316,55,g1
1317,56,g2
1318,57,g3
1319,58,g4
1320,59,g0
1321,60,g1
1322,61,g2
1323,62,g3
1324,63,g4
1325,64,g0
1326,65,g1
1327,66,g2
1328,67,g3
1329,68,g4
1330,69,g0
1331,70,g1
1332,71,g2
1333,72,g3
1334,73,g4
1335,74,g0
1336,75,g1
1337,76,g2
1338,77,g3
1339,78,g4
1340,79,g0
1341,80,g1
1342,81,g2
1343,82,g3
1344,83,g4
1345,84,g0
1346,85,g1
1347,86,g2
1348,87,g3
1349,88,g4
1350,89,g0
1351,90,g1
1352,91,g2
1353,92,g3
1354,93,g4
1355,94,g0
1356,95,g1
1357,96,g2
1358,0,g3
1359,1,g4
1360,2,g0
1361,3,g1
1362,4,g2
1363,5,g3
1364,6,g4
1365,7,g0
1366,8,g1
1367,9,g2
1368,10,g3
1369,11,g4
1370,12,g0
1371,13,g1
1372,14,g2
1373,15,g3
1374,16,g4
1375,17,g0
1376,18,g1
1377,19,g2
1378,20,g3
1379,21,g4
1380,22,g0
1381,23,g1
1382,24,g2
1383,25,g3
1384,26,g4
1385,27,g0
1386,28,g1
1387,29,g2
1388,30,g3
1389,31,g4
1390,32,g0
1391,33,g1
1392,34,g2
1393,35,g3
1394,36,g4
1395,37,g0
1396,38,g1
1397,39,g2
1398,40,g3
1399,41,g4
1400,42,g0
1401,43,g1
1402,44,g2
1403,45,g3
1404,46,g4
1405,47,g0
1406,48,g1
1407,49,g2
1408,50,g3
1409,51,g4
1410,52,g0
1411,53,g1
1412,54,g2
1413,55,g3
1414,56,g4
1415,57,g0
1416,58,g1
1417,59,g2
1418,60,g3
1419,61,g4
1420,62,g0
1421,63,g1
1422,64,g2
1423,65,g3
1424,66,g4
1425,67,g0
1426,68,g1
1427,69,g2
1428,70,g3
1429,71,g4
1430,72,g0
1431,73,g1
1432,74,g2
1433,75,g3
1434,76,g4
1435,77,g0
1436,78,g1
1437,79,g2
1438,80,g3
1439,81,g4
1440,82,g0
1441,83,g1
1442,84,g2
1443,85,g3
1444,86,g4
1445,87,g0
1446,88,g1
1447,89,g2
1448,90,g3
1449,91,g4
1450,92,g0
1451,93,g1
1452,94,g2
1453,95,g3
1454,96,g4
1455,0,g0
1456,1,g1
1457,2,g2
1458,3,g3
1459,4,g4
1460,5,g0
1461,6,g1
1462,7,g2
1463,8,g3
1464,9,g4
1465,10,g0
1466,11,g1
1467,12,g2
1468,13,g3
1469,14,g4
1470,15,g0
1471,16,g1
1472,17,g2
1473,18,g3
1474,19,g4
1475,20,g0
1476,21,g1
1477,22,g2
1478,23,g3
1479,24,g4
1480,25,g0
1481,26,g1
1482,27,g2
1483,28,g3
1484,29,g4
1485,30,g0
1486,31,g1
1487,32,g2
1488,33,g3
1489,34,g4
1490,35,g0
1491,36,g1
1492,37,g2
1493,38,g3
1494,39,g4
1495,40,g0
1496,41,g1
1497,42,g2
1498,43,g3
1499,44,g4
1500,45,g0
1501,46,g1
1502,47,g2
1503,48,g3
1504,49,g4
1505,50,g0
1506,51,g1
1507,52,g2
1508,53,g3
1509,54,g4
1510,55,g0
1511,56,g1
1512,57,g2
1513,58,g3
1514,59,g4
1515,60,g0
1516,61,g1
1517,62,g2
1518,63,g3
1519,64,g4
1520,65,g0
1521,66,g1
1522,67,g2
1523,68,g3
1524,69,g4
1525,70,g0
1526,71,g1
1527,72,g2
1528,73,g3
1529,74,g4
1530,75,g0
1531,76,g1
1532,77,g2
1533,78,g3
1534,79,g4
1535,80,g0
1536,81,g1
1537,82,g2
1538,83,g3
1539,84,g4
1540,85,g0
1541,86,g1
1542,87,g2
1543,88,g3
1544,89,g4
1545,90,g0
1546,91,g1
1547,92,g2
1548,93,g3
1549,94,g4
1550,95,g0
1551,96,g1
1552,0,g2
1553,1,g3
1554,2,g4
1555,3,g0
1556,4,g1
1557,5,g2
1558,6,g3
1559,7,g4
1560,8,g0
1561,9,g1
1562,10,g2
1563,11,g3
1564,12,g4
1565,13,g0
1566,14,g1
1567,15,g2
1568,16,g3
1569,17,g4
1570,18,g0
1571,19,g1
1572,20,g2
1573,21,g3
1574,22,g4
1575,23,g0
1576,24,g1
1577,25,g2
1578,26,g3
1579,27,g4
1580,28,g0
1581,29,g1
1582,30,g2
1583,31,g3
1584,32,g4
1585,33,g0
1586,34,g1
1587,35,g2
1588,36,g3
1589,37,g4
1590,38,g0
1591,39,g1
1592,40,g2
1593,41,g3
1594,42,g4
1595,43,g0
1596,44,g1
1597,45,g2
1598,46,g3
1599,47,g4
1600,48,g0
1601,49,g1
1602,50,g2
1603,51,g3
1604,52,g4
1605,53,g0
1606,54,g1
1607,55,g2
1608,56,g3
1609,57,g4
1610,58,g0
1611,59,g1
1612,60,g2
1613,61,g3
1614,62,g4
1615,63,g0
1616,64,g1
1617,65,g2
1618,66,g3
1619,67,g4
1620,68,g0
1621,69,g1
1622,70,g2
1623,71,g3
1624,72,g4
1625,73,g0
1626,74,g1
1627,75,g2
1628,76,g3
1629,77,g4
1630,78,g0
1631,79,g1
1632,80,g2
1633,81,g3
1634,82,g4
1635,83,g0
1636,84,g1
1637,85,g2
1638,86,g3
1639,87,g4
1640,88,g0
1641,89,g1
1642,90,g2
1643,91,g3
1644,92,g4
1645,93,g0
1646,94,g1
1647,95,g2
1648,96,g3
1649,0,g4
1650,1,g0
1651,2,g1
1652,3,g2
1653,4,g3
1654,5,g4
1655,6,g0
1656,7,g1
1657,8,g2
1658,9,g3
1659,10,g4
1660,11,g0
1661,12,g1
1662,13,g2
1663,14,g3
1664,15,g4
1665,16,g0
1666,17,g1
1667,18,g2
1668,19,g3
1669,20,g4
1670,21,g0
1671,22,g1
1672,23,g2
1673,24,g3
1674,25,g4
1675,26,g0
1676,27,g1
1677,28,g2
1678,29,g3
1679,30,g4
1680,31,g0
1681,32,g1
1682,33,g2
1683,34,g3
1684,35,g4
1685,36,g0
1686,37,g1
1687,38,g2
1688,39,g3
1689,40,g4
1690,41,g0
1691,42,g1
1692,43,g2
1693,44,g3
1694,45,g4
1695,46,g0
1696,47,g1
1697,48,g2
1698,49,g3
1699,50,g4
1700,51,g0
1701,52,g1
1702,53,g2
1703,54,g3
1704,55,g4
1705,56,g0
1706,57,g1
1707,58,g2
1708,59,g3
1709,60,g4
1710,61,g0
1711,62,g1
1712,63,g2
1713,64,g3
1714,65,g4
1715,66,g0
1716,67,g1
1717,68,g2
1718,69,g3
1719,70,g4
1720,71,g0
1721,72,g1
1722,73,g2
1723,74,g3
1724,75,g4
1725,76,g0
1726,77,g1
1727,78,g2
1728,79,g3
1729,80,g4
1730,81,g0
1731,82,g1
1732,83,g2
1733,84,g3
1734,85,g4
1735,86,g0
1736,87,g1
1737,88,g2
1738,89,g3
1739,90,g4
1740,91,g0
1741,92,g1
1742,93,g2
1743,94,g3
1744,95,g4
1745,96,g0
1746,0,g1
1747,1,g2
1748,2,g3
1749,3,g4
1750,4,g0
1751,5,g1
1752,6,g2
1753,7,g3
1754,8,g4
1755,9,g0
1756,10,g1
1757,11,g2
1758,12,g3
1759,13,g4
1760,14,g0
1761,15,g1
1762,16,g2
1763,17,g3
1764,18,g4
1765,19,g0
1766,20,g1
1767,21,g2
1768,22,g3
1769,23,g4
1770,24,g0
1771,25,g1
1772,26,g2
1773,27,g3
1774,28,g4
1775,29,g0
1776,30,g1
1777,31,g2
1778,32,g3
1779,33,g4
1780,34,g0
1781,35,g1
1782,36,g2
1783,37,g3
1784,38,g4
1785,39,g0
1786,40,g1
1787,41,g2
1788,42,g3
1789,43,g4
1790,44,g0
1791,45,g1
1792,46,g2
1793,47,g3
1794,48,g4
1795,49,g0
1796,50,g1
1797,51,g2
1798,52,g3
1799,53,g4
1800,54,g0
1801,55,g1
1802,56,g2
1803,57,g3
1804,58,g4
1805,59,g0
1806,60,g1
1807,61,g2
1808,62,g3
1809,63,g4
1810,64,g0
1811,65,g1
1812,66,g2
1813,67,g3
1814,68,g4
1815,69,g0
1816,70,g1
1817,71,g2
1818,72,g3
1819,73,g4
1820,74,g0
1821,75,g1
1822,76,g2
1823,77,g3
1824,78,g4
1825,79,g0
1826,80,g1
1827,81,g2
1828,82,g3
1829,83,g4
1830,84,g0
1831,85,g1
1832,86,g2
1833,87,g3
1834,88,g4
1835,89,g0
1836,90,g1
1837,91,g2
1838,92,g3
1839,93,g4
1840,94,g0
1841,95,g1
1842,96,g2
1843,0,g3
1844,1,g4
1845,2,g0
1846,3,g1
1847,4,g2
1848,5,g3
1849,6,g4
1850,7,g0
1851,8,g1
1852,9,g2
1853,10,g3
1854,11,g4
1855,12,g0
1856,13,g1
1857,14,g2
1858,15,g3
1859,16,g4
1860,17,g0
1861,18,g1
1862,19,g2
1863,20,g3
1864,21,g4
1865,22,g0
1866,23,g1
1867,24,g2
1868,25,g3
1869,26,g4
1870,27,g0
1871,28,g1
1872,29,g2
1873,30,g3
